ROUTEID,ROUTENAME,ROADTYPE,BLOCKKEY,TOTALTRAVELLANES,TOTALTRAVELLANEWIDTH,TOTALTRAVELLANESINBOUND,TOTALTRAVELLANESOUTBOUND,SUMMARYDIRECTION,FHWAFUNCTIONALCLASS,NHSCODE,OWNERSHIP,SPEEDLIMITS_IB,SPEEDLIMITS_OB,STREETNAME,STREETTYPE,BLOCKID,DCFUNCTIONALCLASS,NHSTYPE,WARD_ID,ANC_ID,SMD_ID,BLOCK_NAME,ROAD,START,END,MIDPOINT,ADDRESS,MAR_ID,SURFACE_TYPE,OBJECTID,SHAPE,DC_MAINTENANCE_OPERATIONS,MAINTENANCE_OPERATIONS,SHAPELEN
13004902,49TH ST SE,1,4845ec92688f4c088376c8329c93eb14,2,31,1,1,BD,7,,1,,20,49TH,ST,13004902-13004902_13013842-13004902_13019822_13077832,19,,7,7E,7E04,250 - 299 BLOCK OF 49TH STREET SE,49TH STREET SE,250,299,275,"275 49TH STREET SE WASHINGTON, DC",814633,0,2793846,,1,1,0
13081382,SOUTH CAROLINA AVE SE,1,e0d7b8fe2bf2a7f0ab3696077fd5931e,2,24,1,1,BD,7,,1,,20,SOUTH CAROLINA,AVE,13081382-13000302_13081382-13000402_13031332_13081382,19,,6,6B,6B01,300 - 409 BLOCK OF SOUTH CAROLINA AVENUE SE,SOUTH CAROLINA AVENUE SE,300,409,355,"355 SOUTH CAROLINA AVENUE SE WASHINGTON, DC",811180,0,2793847,,1,1,0
13056222,LIVINGSTON RD SE,1,6c445f27c704833f95003141d4d6e417,2,18,1,1,BD,7,,1,,20,LIVINGSTON,RD,13056222-13011702_13056222_13088592-13056222_13067022,19,,8,8D,8D03,3900 - 3999 BLOCK OF LIVINGSTON ROAD SE,LIVINGSTON ROAD SE,3900,3999,3950,"3950 LIVINGSTON ROAD SE WASHINGTON, DC",808695,0,2793848,,1,1,0
13078322,SAVANNAH ST SE,1,ecf2852e12cacb142249987edb9e5f95,2,18,1,1,BD,7,,1,,20,SAVANNAH,ST,13078322-13001902_13078322_13078392-13075752_13078322,19,,8,8E,8E02,1900 - 1919 BLOCK OF SAVANNAH STREET SE,SAVANNAH STREET SE,1900,1919,1910,"1910 SAVANNAH STREET SE WASHINGTON, DC",808685,0,2793849,,1,1,0
14001602,16TH ST SW,1,aaccaa97a5c36e76db3cabac85c39341,2,26,1,1,BD,7,,10,,20,16TH,ST,14001602-14001602_14025582-14001602_14066402*1,19,,8,8D,8D07,4550 - 4599 BLOCK OF 16TH STREET SW,16TH STREET SW,4550,4599,4575,"4575 16TH STREET SW WASHINGTON, DC",811054,0,2793850,,10,73,0
13087232,U ST SE,1,0345901d6e9577c24d98d14c5d3ec4bf,2,16,1,1,BD,7,,1,,20,U,ST,13087232-13079362_13087232-13059452_13087232,19,,8,8A,8A06,1100 - 1199 BLOCK OF U STREET SE,U STREET SE,1100,1199,1150,"1150 U STREET SE WASHINGTON, DC",814895,0,2793851,,1,1,0
13084632,TALBERT ST SE,1,eb7da73937f207127e0443d99bd0bd1d,2,16,1,1,BD,7,,1,,20,TALBERT,ST,13084632-13059452_13084632-13062662_13084632,19,,8,8A,8A06,1200 - 1233 BLOCK OF TALBERT STREET SE,TALBERT STREET SE,1200,1233,1217,"1217 TALBERT STREET SE WASHINGTON, DC",812600,0,2793852,,1,1,0
13064282,NEW JERSEY AVE SE,1,5eee86bc1ea45432e135146281142791,2,22,1,1,BD,7,,1,,20,NEW JERSEY,AVE,13064282-13064282_13073092-13020282_13064282_13086282,19,,8,8F,8F02,1270 - 1299 BLOCK OF NEW JERSEY AVENUE SE,NEW JERSEY AVENUE SE,1270,1299,1285,"1285 NEW JERSEY AVENUE SE WASHINGTON, DC",817091,0,2793853,,1,1,0
13003002,30TH ST SE,1,e9ab61a9dc6204a11c68b91a6c51e151,2,20,1,1,BD,7,,1,,25,30TH,ST,13003002-13003002_13028922-13003002_13033602,19,,7,7B,7B05,2601 - 2699 BLOCK OF 30TH STREET SE,30TH STREET SE,2601,2699,2650,"2650 30TH STREET SE WASHINGTON, DC",814041,0,2793854,,1,1,0
13067472,ORANGE ST SE,1,3abd35904b4f4263bed1e6fd5d4952dd,1,15,1,0,IB,7,,1,,,ORANGE,ST,13067472-13000402_13067472-13000502_13066232_13067472,19,,8,8C,8C02,301 - 499 BLOCK OF ORANGE STREET SE,ORANGE STREET SE,301,499,400,"400 ORANGE STREET SE WASHINGTON, DC",808687,0,2793855,,1,1,0
